Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Nov 1 2010,8:00p,Portland Trail Blazers,98,Chicago Bulls,110,Box Score,,21057,
Mon Nov 1 2010,10:00p,Toronto Raptors,108,Sacramento Kings,111,Box Score,,17317,
Mon Nov 1 2010,10:30p,San Antonio Spurs,97,Los Angeles Clippers,88,Box Score,,14964,
Tue Nov 2 2010,7:00p,Atlanta Hawks,100,Cleveland Cavaliers,88,Box Score,,20562,
Tue Nov 2 2010,7:00p,Philadelphia 76ers,115,Washington Wizards,116,Box Score,OT,17803,
Tue Nov 2 2010,7:30p,Boston Celtics,109,Detroit Pistons,86,Box Score,,15313,
Tue Nov 2 2010,7:30p,Minnesota Timberwolves,97,Miami Heat,129,Box Score,,19600,
Tue Nov 2 2010,8:00p,Portland Trail Blazers,90,Milwaukee Bucks,76,Box Score,,13087,
Tue Nov 2 2010,10:30p,Memphis Grizzlies,105,Los Angeles Lakers,124,Box Score,,18997,
Wed Nov 3 2010,7:00p,Detroit Pistons,85,Atlanta Hawks,94,Box Score,,13003,
Wed Nov 3 2010,7:00p,Charlotte Bobcats,85,New Jersey Nets,83,Box Score,,11778,
Wed Nov 3 2010,7:00p,Minnesota Timberwolves,86,Orlando Magic,128,Box Score,,18846,
Wed Nov 3 2010,7:00p,Indiana Pacers,75,Philadelphia 76ers,101,Box Score,,12277,
Wed Nov 3 2010,8:00p,Milwaukee Bucks,102,Boston Celtics,105,Box Score,OT,18624,
Wed Nov 3 2010,8:30p,New Orleans Hornets,107,Houston Rockets,99,Box Score,,13484,
Wed Nov 3 2010,9:00p,Dallas Mavericks,102,Denver Nuggets,101,Box Score,,14159,
Wed Nov 3 2010,9:00p,Toronto Raptors,108,Utah Jazz,125,Box Score,,17802,
Wed Nov 3 2010,10:00p,San Antonio Spurs,112,Phoenix Suns,110,Box Score,,17060,
Wed Nov 3 2010,10:30p,Memphis Grizzlies,109,Golden State Warriors,115,Box Score,,16607,
Wed Nov 3 2010,10:30p,Oklahoma City Thunder,92,Los Angeles Clippers,107,Box Score,,18414,
Wed Nov 3 2010,10:30p,Los Angeles Lakers,112,Sacramento Kings,100,Box Score,,16113,
Thu Nov 4 2010,8:00p,New York Knicks,120,Chicago Bulls,112,Box Score,,21203,
Thu Nov 4 2010,10:30p,Oklahoma City Thunder,107,Portland Trail Blazers,106,Box Score,OT,20611,
Fri Nov 5 2010,7:00p,Milwaukee Bucks,94,Indiana Pacers,90,Box Score,,14115,
Fri Nov 5 2010,7:00p,New Jersey Nets,90,Orlando Magic,105,Box Score,,18846,
Fri Nov 5 2010,7:00p,Cleveland Cavaliers,123,Philadelphia 76ers,116,Box Score,,10589,
Fri Nov 5 2010,7:30p,Charlotte Bobcats,90,Detroit Pistons,97,Box Score,,13291,
Fri Nov 5 2010,7:30p,Washington Wizards,91,New York Knicks,112,Box Score,,19763,
Fri Nov 5 2010,8:00p,Chicago Bulls,105,Boston Celtics,110,Box Score,OT,18624,
Fri Nov 5 2010,8:00p,Atlanta Hawks,113,Minnesota Timberwolves,103,Box Score,,17222,
Fri Nov 5 2010,8:00p,Miami Heat,93,New Orleans Hornets,96,Box Score,,17988,
Fri Nov 5 2010,10:00p,Memphis Grizzlies,118,Phoenix Suns,123,Box Score,2OT,16470,
Fri Nov 5 2010,10:30p,Los Angeles Clippers,104,Denver Nuggets,111,Box Score,,15559,
Fri Nov 5 2010,10:30p,Utah Jazz,78,Golden State Warriors,85,Box Score,,17902,
Fri Nov 5 2010,10:30p,Toronto Raptors,103,Los Angeles Lakers,108,Box Score,,18997,
Sat Nov 6 2010,7:00p,Orlando Magic,91,Charlotte Bobcats,88,Box Score,,18136,
Sat Nov 6 2010,7:00p,Cleveland Cavaliers,107,Washington Wizards,102,Box Score,,14442,
Sat Nov 6 2010,7:30p,New Jersey Nets,89,Miami Heat,101,Box Score,,19600,
Sat Nov 6 2010,8:30p,New Orleans Hornets,87,Milwaukee Bucks,81,Box Score,,16731,
Sat Nov 6 2010,8:30p,Houston Rockets,121,San Antonio Spurs,124,Box Score,OT,17740,
Sat Nov 6 2010,9:00p,Denver Nuggets,103,Dallas Mavericks,92,Box Score,,19948,
Sat Nov 6 2010,9:00p,Los Angeles Clippers,107,Utah Jazz,109,Box Score,2OT,19911,
Sat Nov 6 2010,10:00p,Toronto Raptors,84,Portland Trail Blazers,97,Box Score,,20363,
Sat Nov 6 2010,10:00p,Memphis Grizzlies,100,Sacramento Kings,91,Box Score,,14085,
Sun Nov 7 2010,12:00p,Philadelphia 76ers,106,New York Knicks,96,Box Score,,18735,
Sun Nov 7 2010,5:00p,Phoenix Suns,118,Atlanta Hawks,114,Box Score,,13395,
Sun Nov 7 2010,6:00p,Golden State Warriors,97,Detroit Pistons,102,Box Score,,12813,
Sun Nov 7 2010,7:00p,Minnesota Timberwolves,94,Houston Rockets,120,Box Score,,15058,
Sun Nov 7 2010,7:00p,Boston Celtics,92,Oklahoma City Thunder,83,Box Score,,18203,
Sun Nov 7 2010,9:30p,Portland Trail Blazers,96,Los Angeles Lakers,121,Box Score,,18997,
Mon Nov 8 2010,7:00p,San Antonio Spurs,95,Charlotte Bobcats,91,Box Score,,14152,
Mon Nov 8 2010,7:00p,Atlanta Hawks,89,Orlando Magic,93,Box Score,,18846,
Mon Nov 8 2010,7:00p,Golden State Warriors,109,Toronto Raptors,102,Box Score,,14127,
Mon Nov 8 2010,8:00p,Denver Nuggets,92,Chicago Bulls,94,Box Score,,21355,
Mon Nov 8 2010,8:00p,Phoenix Suns,99,Memphis Grizzlies,109,Box Score,,10786,
Mon Nov 8 2010,8:30p,Boston Celtics,87,Dallas Mavericks,89,Box Score,,20194,
Tue Nov 9 2010,7:00p,Denver Nuggets,113,Indiana Pacers,144,Box Score,,11122,
Tue Nov 9 2010,7:00p,Cleveland Cavaliers,93,New Jersey Nets,91,Box Score,,10188,
Tue Nov 9 2010,7:30p,Utah Jazz,116,Miami Heat,114,Box Score,OT,19600,
Tue Nov 9 2010,8:00p,New York Knicks,80,Milwaukee Bucks,107,Box Score,,13286,
Tue Nov 9 2010,8:00p,Los Angeles Clippers,82,New Orleans Hornets,101,Box Score,,12479,
Tue Nov 9 2010,10:00p,Detroit Pistons,78,Portland Trail Blazers,100,Box Score,,20556,
Tue Nov 9 2010,10:30p,Minnesota Timberwolves,94,Los Angeles Lakers,99,Box Score,,18997,
Wed Nov 10 2010,7:00p,Milwaukee Bucks,108,Atlanta Hawks,91,Box Score,,11211,
Wed Nov 10 2010,7:00p,Utah Jazz,104,Orlando Magic,94,Box Score,,18846,
Wed Nov 10 2010,7:00p,Charlotte Bobcats,101,Toronto Raptors,96,Box Score,,14309,
Wed Nov 10 2010,7:00p,Houston Rockets,91,Washington Wizards,98,Box Score,,13665,
Wed Nov 10 2010,7:30p,New Jersey Nets,95,Cleveland Cavaliers,87,Box Score,,20562,
Wed Nov 10 2010,7:30p,Golden State Warriors,122,New York Knicks,117,Box Score,,19763,
Wed Nov 10 2010,8:00p,Dallas Mavericks,106,Memphis Grizzlies,91,Box Score,,10767,
Wed Nov 10 2010,8:00p,Philadelphia 76ers,103,Oklahoma City Thunder,109,Box Score,,18203,
Wed Nov 10 2010,9:30p,Los Angeles Clippers,95,San Antonio Spurs,107,Box Score,,17309,
Wed Nov 10 2010,10:00p,Minnesota Timberwolves,98,Sacramento Kings,89,Box Score,,12433,
Thu Nov 11 2010,8:00p,Golden State Warriors,90,Chicago Bulls,120,Box Score,,21140,
Thu Nov 11 2010,8:00p,Boston Celtics,112,Miami Heat,107,Box Score,,19650,
Thu Nov 11 2010,10:30p,Los Angeles Lakers,112,Denver Nuggets,118,Box Score,,19155,
Fri Nov 12 2010,7:00p,Utah Jazz,90,Atlanta Hawks,86,Box Score,,17069,
Fri Nov 12 2010,7:00p,Houston Rockets,102,Indiana Pacers,99,Box Score,,14414,
Fri Nov 12 2010,7:00p,Toronto Raptors,110,Orlando Magic,106,Box Score,,18846,
Fri Nov 12 2010,7:00p,Charlotte Bobcats,93,Washington Wizards,85,Box Score,,14855,
Fri Nov 12 2010,8:00p,New York Knicks,103,Minnesota Timberwolves,112,Box Score,,15232,
Fri Nov 12 2010,8:30p,Philadelphia 76ers,90,Dallas Mavericks,99,Box Score,,19989,
Fri Nov 12 2010,9:00p,Sacramento Kings,89,Phoenix Suns,103,Box Score,,18029,
Fri Nov 12 2010,9:30p,Portland Trail Blazers,108,Oklahoma City Thunder,110,Box Score,,18203,
Fri Nov 12 2010,10:30p,Detroit Pistons,113,Los Angeles Clippers,107,Box Score,OT,16960,
Sat Nov 13 2010,7:00p,Utah Jazz,96,Charlotte Bobcats,95,Box Score,,15486,
Sat Nov 13 2010,7:00p,Orlando Magic,91,New Jersey Nets,90,Box Score,,15086,
Sat Nov 13 2010,7:30p,Indiana Pacers,99,Cleveland Cavaliers,85,Box Score,,20562,
Sat Nov 13 2010,7:30p,Toronto Raptors,100,Miami Heat,109,Box Score,,19600,
Sat Nov 13 2010,8:00p,Washington Wizards,96,Chicago Bulls,103,Box Score,,21610,
Sat Nov 13 2010,8:00p,Boston Celtics,116,Memphis Grizzlies,110,Box Score,OT,18119,
Sat Nov 13 2010,8:00p,Portland Trail Blazers,87,New Orleans Hornets,107,Box Score,,14706,
Sat Nov 13 2010,8:30p,Golden State Warriors,72,Milwaukee Bucks,79,Box Score,,17049,
Sat Nov 13 2010,8:30p,Philadelphia 76ers,93,San Antonio Spurs,116,Box Score,,17627,
Sun Nov 14 2010,2:00p,Minnesota Timberwolves,105,Atlanta Hawks,111,Box Score,,12027,
Sun Nov 14 2010,6:00p,Detroit Pistons,100,Sacramento Kings,94,Box Score,,12377,
Sun Nov 14 2010,7:00p,San Antonio Spurs,117,Oklahoma City Thunder,104,Box Score,,18203,
Sun Nov 14 2010,7:30p,Houston Rockets,104,New York Knicks,96,Box Score,,19763,
Sun Nov 14 2010,9:30p,Phoenix Suns,121,Los Angeles Lakers,116,Box Score,,18997,
Mon Nov 15 2010,7:00p,Minnesota Timberwolves,110,Charlotte Bobcats,113,Box Score,,11211,
Mon Nov 15 2010,7:00p,Memphis Grizzlies,72,Orlando Magic,89,Box Score,,18846,
Mon Nov 15 2010,8:30p,New Orleans Hornets,95,Dallas Mavericks,98,Box Score,,19712,
Mon Nov 15 2010,9:00p,Denver Nuggets,94,Phoenix Suns,100,Box Score,,17744,
Mon Nov 15 2010,9:00p,Oklahoma City Thunder,115,Utah Jazz,108,Box Score,,19911,
Mon Nov 15 2010,10:30p,Detroit Pistons,97,Golden State Warriors,101,Box Score,,19123,
Mon Nov 15 2010,10:30p,New Jersey Nets,110,Los Angeles Clippers,96,Box Score,,14516,
Tue Nov 16 2010,7:00p,Philadelphia 76ers,93,Cleveland Cavaliers,101,Box Score,,20562,
Tue Nov 16 2010,7:00p,Atlanta Hawks,102,Indiana Pacers,92,Box Score,,11133,
Tue Nov 16 2010,7:00p,Toronto Raptors,94,Washington Wizards,109,Box Score,,11513,
Tue Nov 16 2010,8:00p,Portland Trail Blazers,100,Memphis Grizzlies,99,Box Score,,10827,
Tue Nov 16 2010,8:00p,Los Angeles Lakers,118,Milwaukee Bucks,107,Box Score,,18059,
Tue Nov 16 2010,8:30p,Chicago Bulls,95,Houston Rockets,92,Box Score,,18158,
Tue Nov 16 2010,9:00p,New York Knicks,118,Denver Nuggets,120,Box Score,,15190,
Wed Nov 17 2010,7:00p,Phoenix Suns,96,Miami Heat,123,Box Score,,19600,
Wed Nov 17 2010,7:00p,Toronto Raptors,94,Philadelphia 76ers,86,Box Score,,12164,
Wed Nov 17 2010,7:30p,Washington Wizards,83,Boston Celtics,114,Box Score,,18624,
Wed Nov 17 2010,7:30p,Los Angeles Lakers,103,Detroit Pistons,90,Box Score,,20284,
Wed Nov 17 2010,8:00p,Los Angeles Clippers,111,Minnesota Timberwolves,113,Box Score,,12909,
Wed Nov 17 2010,8:00p,Dallas Mavericks,97,New Orleans Hornets,99,Box Score,,13828,
Wed Nov 17 2010,8:00p,Houston Rockets,99,Oklahoma City Thunder,116,Box Score,,17509,
Wed Nov 17 2010,9:00p,New Jersey Nets,88,Utah Jazz,98,Box Score,,19314,
Wed Nov 17 2010,9:30p,Chicago Bulls,94,San Antonio Spurs,103,Box Score,,18581,
Wed Nov 17 2010,10:00p,New York Knicks,113,Sacramento Kings,106,Box Score,,12817,
Thu Nov 18 2010,7:00p,Los Angeles Clippers,80,Indiana Pacers,107,Box Score,,12459,
Thu Nov 18 2010,8:00p,Phoenix Suns,89,Orlando Magic,105,Box Score,,18846,
Thu Nov 18 2010,10:30p,Denver Nuggets,83,Portland Trail Blazers,86,Box Score,,20532,
Fri Nov 19 2010,7:00p,Oklahoma City Thunder,89,Boston Celtics,84,Box Score,,18624,
Fri Nov 19 2010,7:00p,Milwaukee Bucks,79,Philadelphia 76ers,90,Box Score,,14557,
Fri Nov 19 2010,7:00p,Houston Rockets,96,Toronto Raptors,106,Box Score,,17369,
Fri Nov 19 2010,7:00p,Memphis Grizzlies,86,Washington Wizards,89,Box Score,,13504,
Fri Nov 19 2010,7:30p,Charlotte Bobcats,87,Miami Heat,95,Box Score,,19600,
Fri Nov 19 2010,8:00p,Los Angeles Lakers,112,Minnesota Timberwolves,95,Box Score,,19356,
Fri Nov 19 2010,8:00p,Cleveland Cavaliers,101,New Orleans Hornets,108,Box Score,,14755,
Fri Nov 19 2010,9:00p,San Antonio Spurs,94,Utah Jazz,82,Box Score,,19332,
Fri Nov 19 2010,9:30p,Chicago Bulls,88,Dallas Mavericks,83,Box Score,,20133,
Fri Nov 19 2010,10:00p,New Jersey Nets,81,Sacramento Kings,86,Box Score,,11766,
Fri Nov 19 2010,10:30p,New York Knicks,125,Golden State Warriors,119,Box Score,,19808,
Sat Nov 20 2010,7:00p,Phoenix Suns,105,Charlotte Bobcats,123,Box Score,,16428,
Sat Nov 20 2010,7:00p,Orlando Magic,90,Indiana Pacers,86,Box Score,,14583,
Sat Nov 20 2010,8:00p,Dallas Mavericks,98,Atlanta Hawks,93,Box Score,,14143,
Sat Nov 20 2010,8:00p,Miami Heat,95,Memphis Grizzlies,97,Box Score,,18119,
Sat Nov 20 2010,8:30p,Oklahoma City Thunder,82,Milwaukee Bucks,81,Box Score,,16975,
Sat Nov 20 2010,8:30p,Cleveland Cavaliers,92,San Antonio Spurs,116,Box Score,,16982,
Sat Nov 20 2010,9:00p,New Jersey Nets,103,Denver Nuggets,107,Box Score,,16396,
Sat Nov 20 2010,10:00p,Utah Jazz,103,Portland Trail Blazers,94,Box Score,,20533,
Sat Nov 20 2010,10:30p,New York Knicks,124,Los Angeles Clippers,115,Box Score,,18325,
Sun Nov 21 2010,1:00p,Boston Celtics,101,Toronto Raptors,102,Box Score,,17707,
Sun Nov 21 2010,6:00p,Washington Wizards,110,Detroit Pistons,115,Box Score,OT,13241,
Sun Nov 21 2010,6:00p,New Orleans Hornets,75,Sacramento Kings,71,Box Score,,12003,
Sun Nov 21 2010,9:30p,Golden State Warriors,89,Los Angeles Lakers,117,Box Score,,18997,
Mon Nov 22 2010,7:00p,Boston Celtics,99,Atlanta Hawks,76,Box Score,,14476,
Mon Nov 22 2010,7:30p,Indiana Pacers,93,Miami Heat,77,Box Score,,19600,
Mon Nov 22 2010,8:00p,Minnesota Timberwolves,107,Oklahoma City Thunder,117,Box Score,,17653,
Mon Nov 22 2010,8:30p,Phoenix Suns,123,Houston Rockets,116,Box Score,,15080,
Mon Nov 22 2010,8:30p,Orlando Magic,97,San Antonio Spurs,106,Box Score,,17627,
Mon Nov 22 2010,9:00p,Sacramento Kings,83,Utah Jazz,94,Box Score,,18698,
Mon Nov 22 2010,10:30p,Denver Nuggets,106,Golden State Warriors,89,Box Score,,18023,
Mon Nov 22 2010,10:30p,New Orleans Hornets,95,Los Angeles Clippers,99,Box Score,,17787,
Tue Nov 23 2010,7:00p,Cleveland Cavaliers,89,Indiana Pacers,100,Box Score,,12629,
Tue Nov 23 2010,7:00p,Atlanta Hawks,101,New Jersey Nets,107,Box Score,OT,13010,
Tue Nov 23 2010,7:00p,Philadelphia 76ers,114,Washington Wizards,116,Box Score,OT,16197,
Tue Nov 23 2010,7:30p,Charlotte Bobcats,107,New York Knicks,110,Box Score,,19763,
Tue Nov 23 2010,8:30p,Detroit Pistons,84,Dallas Mavericks,88,Box Score,,19734,
Tue Nov 23 2010,10:30p,Chicago Bulls,91,Los Angeles Lakers,98,Box Score,,18997,
Wed Nov 24 2010,7:00p,New York Knicks,99,Charlotte Bobcats,95,Box Score,,15588,
Wed Nov 24 2010,7:00p,Milwaukee Bucks,81,Cleveland Cavaliers,83,Box Score,,20562,
Wed Nov 24 2010,7:00p,Philadelphia 76ers,90,Toronto Raptors,106,Box Score,,15012,
Wed Nov 24 2010,7:30p,New Jersey Nets,83,Boston Celtics,89,Box Score,,18624,
Wed Nov 24 2010,7:30p,Miami Heat,95,Orlando Magic,104,Box Score,,18936,
Wed Nov 24 2010,8:00p,Detroit Pistons,84,Memphis Grizzlies,105,Box Score,,11283,
Wed Nov 24 2010,8:00p,San Antonio Spurs,113,Minnesota Timberwolves,109,Box Score,OT,13117,
Wed Nov 24 2010,8:00p,Dallas Mavericks,111,Oklahoma City Thunder,103,Box Score,,18203,
Wed Nov 24 2010,8:30p,Golden State Warriors,101,Houston Rockets,111,Box Score,,13847,
Wed Nov 24 2010,9:00p,Chicago Bulls,123,Phoenix Suns,115,Box Score,2OT,18422,
Wed Nov 24 2010,9:00p,New Orleans Hornets,87,Utah Jazz,105,Box Score,,19237,
Thu Nov 25 2010,8:00p,Washington Wizards,96,Atlanta Hawks,116,Box Score,,15042,
Thu Nov 25 2010,10:30p,Sacramento Kings,82,Los Angeles Clippers,100,Box Score,,11504,
Fri Nov 26 2010,7:00p,Houston Rockets,89,Charlotte Bobcats,99,Box Score,,16473,
Fri Nov 26 2010,7:00p,Cleveland Cavaliers,100,Orlando Magic,111,Box Score,,18846,
Fri Nov 26 2010,7:30p,Toronto Raptors,101,Boston Celtics,110,Box Score,,18624,
Fri Nov 26 2010,7:30p,Milwaukee Bucks,89,Detroit Pistons,103,Box Score,,17133,
Fri Nov 26 2010,7:30p,Philadelphia 76ers,90,Miami Heat,99,Box Score,,19800,
Fri Nov 26 2010,8:00p,Oklahoma City Thunder,110,Indiana Pacers,106,Box Score,OT,17155,
Fri Nov 26 2010,8:30p,Dallas Mavericks,103,San Antonio Spurs,94,Box Score,,18581,
Fri Nov 26 2010,9:00p,Chicago Bulls,97,Denver Nuggets,98,Box Score,,19155,
Fri Nov 26 2010,9:00p,Los Angeles Clippers,108,Phoenix Suns,116,Box Score,,17486,
Fri Nov 26 2010,9:00p,Los Angeles Lakers,96,Utah Jazz,102,Box Score,,19911,
Fri Nov 26 2010,9:30p,Golden State Warriors,111,Memphis Grizzlies,116,Box Score,,14753,
Fri Nov 26 2010,10:00p,New Orleans Hornets,97,Portland Trail Blazers,78,Box Score,,20452,
Sat Nov 27 2010,1:00p,Atlanta Hawks,99,New York Knicks,90,Box Score,,19763,
Sat Nov 27 2010,7:00p,Orlando Magic,100,Washington Wizards,99,Box Score,,16435,
Sat Nov 27 2010,7:30p,Memphis Grizzlies,86,Cleveland Cavaliers,92,Box Score,,20562,
Sat Nov 27 2010,7:30p,New Jersey Nets,86,Philadelphia 76ers,102,Box Score,,14150,
Sat Nov 27 2010,8:00p,Golden State Warriors,104,Minnesota Timberwolves,94,Box Score,,14440,
Sat Nov 27 2010,8:30p,Miami Heat,95,Dallas Mavericks,106,Box Score,,20536,
Sat Nov 27 2010,9:00p,Charlotte Bobcats,101,Milwaukee Bucks,104,Box Score,,15213,
Sat Nov 27 2010,10:00p,Chicago Bulls,96,Sacramento Kings,85,Box Score,,13504,
Sun Nov 28 2010,1:00p,Atlanta Hawks,96,Toronto Raptors,78,Box Score,,17302,
Sun Nov 28 2010,1:30p,New York Knicks,125,Detroit Pistons,116,Box Score,2OT,16015,
Sun Nov 28 2010,3:00p,San Antonio Spurs,109,New Orleans Hornets,95,Box Score,,12449,
Sun Nov 28 2010,3:30p,Utah Jazz,109,Los Angeles Clippers,97,Box Score,,17085,
Sun Nov 28 2010,7:00p,Oklahoma City Thunder,98,Houston Rockets,99,Box Score,,15316,
Sun Nov 28 2010,7:00p,Portland Trail Blazers,96,New Jersey Nets,98,Box Score,,11448,
Sun Nov 28 2010,8:00p,Phoenix Suns,133,Denver Nuggets,138,Box Score,,15482,
Sun Nov 28 2010,9:30p,Indiana Pacers,95,Los Angeles Lakers,92,Box Score,,18997,
Mon Nov 29 2010,7:30p,Washington Wizards,94,Miami Heat,105,Box Score,,19600,
Mon Nov 29 2010,8:00p,New Orleans Hornets,89,Oklahoma City Thunder,95,Box Score,,18203,
Mon Nov 29 2010,8:30p,Houston Rockets,91,Dallas Mavericks,101,Box Score,,19435,
Mon Nov 29 2010,9:00p,Milwaukee Bucks,88,Utah Jazz,109,Box Score,,18497,
Tue Nov 30 2010,7:00p,Boston Celtics,106,Cleveland Cavaliers,87,Box Score,,20562,
Tue Nov 30 2010,7:00p,Detroit Pistons,79,Orlando Magic,90,Box Score,,18846,
Tue Nov 30 2010,7:00p,Portland Trail Blazers,79,Philadelphia 76ers,88,Box Score,,13556,
Tue Nov 30 2010,7:30p,New Jersey Nets,100,New York Knicks,111,Box Score,,19763,
Tue Nov 30 2010,8:00p,Los Angeles Lakers,96,Memphis Grizzlies,98,Box Score,,17638,
Tue Nov 30 2010,10:00p,Indiana Pacers,107,Sacramento Kings,98,Box Score,,10927,
Tue Nov 30 2010,10:30p,San Antonio Spurs,118,Golden State Warriors,98,Box Score,,17877,
